input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1398,"акумулятори, зарядні пристрої",,"Хомути затискні > акумулятори, зарядні пристрої",31202,Перетворювачі напруги,,Автомобілі 4х4 > Акумулятори та електрика > Перетворювачі напруги,0.7,Частковое совпадение по электрической тематике,semantic
1395,Запчастини ATV,,Хомути затискні > Запчастини ATV,10501,Гальма для квадроциклів,,Мотоцикли та квадроцикли > Квадроцикли - частини > Гальма для квадроциклів,0.6,Частичное совпадение по запчастям для квадроциклов,semantic
1393,Частини Jawa 50,,Хомути затискні > Частини Jawa 50,80301,Двигун Jawa,,Запчастини класичних мотоциклів > Jawa 50 > Двигун Jawa,0.9,Точное совпадение по категории Jawa 50,exact
1390,"Деталі MZ ETZ, TS, ES",,"Хомути затискні > Деталі MZ ETZ, TS, ES",80201,Двигун MZ,,Запчастини класичних мотоциклів > MZ ETZ / TS / ES > Двигун MZ,0.9,Точное совпадение по категории MZ ETZ/TS/ES,exact
1392,"Деталі Romet, Komar",,"Хомути затискні > Деталі Romet, Komar",805,Romet / Komar,,Запчастини класичних мотоциклів > Romet / Komar,0.9,Точное совпадение по категории Romet/Komar,exact
1379,Частини Simson,,Хомути затискні > Частини Simson,80101,Двигун Simson,,Запчастини класичних мотоциклів > Simson > Двигун Simson,0.9,Точное совпадение по категории Simson,exact
1394,"Деталі скутери, мопеди",,"Хомути затискні > Деталі скутери, мопеди",80601,Двигун скутера,,Запчастини класичних мотоциклів > Скутери та мопеди > Двигун скутера,0.8,Высокое семантическое совпадение по деталям скутеров,semantic
1391,"Деталі WSK, WFM, SHL",,"Хомути затискні > Деталі WSK, WFM, SHL",804,WSK / WFM / SHL,,Запчастини класичних мотоциклів > WSK / WFM / SHL,0.9,Точное совпадение по категории WSK/WFM/SHL,exact
1400,Фільтри палива,,Хомути затискні > Фільтри палива,10402,Масляні фільтри,,Мотоцикли та квадроцикли > Фільтри та олії > Масляні фільтри,0.5,Частичное совпадение по фильтрам,semantic
1401,Фільтри повітря,,Хомути затискні > Фільтри повітря,10401,Повітряні фільтри,,Мотоцикли та квадроцикли > Фільтри та олії > Повітряні фільтри,0.9,Точное совпадение по воздушным фильтрам,exact
1403,гальма,,Хомути затискні > гальма,1010201,Гальмівні колодки,,Мотоцикли та квадроцикли > Частини для мотоциклів > Гальмівна система > Гальмівні колодки,0.7,Семантическое совпадение по тематике тормозов,semantic
1396,Мотоциклетні шоломи,,Хомути затискні > Мотоциклетні шоломи,20101,Інтегральні шоломи,,Екіпіровка мотоцикліста > Шоломи > Інтегральні шоломи,0.8,Высокое семантическое совпадение по мотошлемам,semantic
1404,кермо,,Хомути затискні > кермо,40405,Кермо та виноси,,Велосипеди > Частини велосипеда > Кермо та виноси,0.9,Точне семантичне співпадіння для керма велосипеда,semantic
1405,Валізи,,Хомути затискні > Валізи,50404,Водонепроникні сумки,,Туризм та кемпінг > Ящики та сумки експедиційні > Водонепроникні сумки,0.7,Часткове семантичне співпадіння для сумок,general
1524,Кульки підшипникові,,Хомути затискні > Кульки підшипникові,80703,Підшипники,,Запчастини класичних мотоциклів > Універсальні запчастини > Підшипники,0.8,Точне семантичне співпадіння для підшипників,semantic
1407,Дзеркала,,Хомути затискні > Дзеркала,10202,Дзеркала,,Мотоцикли та квадроцикли > Кузов та аксесуари > Дзеркала,0.9,Точне семантичне співпадіння для дзеркал,semantic
1408,Підшипники,,Хомути затискні > Підшипники,80703,Підшипники,,Запчастини класичних мотоциклів > Універсальні запчастини > Підшипники,0.9,Точне семантичне співпадіння для підшипників,semantic
1384,Наклейки,,Хомути затискні > Наклейки,90503,Наклейки,,Спеціальні категорії > Сувеніри та подарунки > Наклейки,0.8,Точне семантичне співпадіння для наклейок,semantic
1409,Інструменти,,Хомути затискні > Інструменти,4051001,Ключі та інструменти,,Велосипеди > Аксесуари велосипедні > Інструменти та сервіс > Ключі та інструменти,0.8,Семантичне співпадіння для інструментів,semantic
1425,Новинки,,Хомути затискні > Новинки,902,Новинки,,Спеціальні категорії > Новинки,1.0,Точне співпадіння для категорії новинок,exact
1410,Одяг,,Хомути затискні > Одяг,40601,Велофутболки та джерсі,,Велосипеди > Велоодяг та взуття > Велофутболки та джерсі,0.7,Часткове семантичне співпадіння для одягу,general
1411,шини,,Хомути затискні > шини,4040101,Покришки велосипедні,,Велосипеди > Частини велосипеда > Колеса та покришки > Покришки велосипедні,0.9,Точне семантичне співпадіння для шин/покришок,semantic
1412,Олії | Хімія,,Хомути затискні > Олії | Хімія,601,Моторні олії,,Олії та хімія > Моторні олії,0.8,Семантичне співпадіння для олій та хімії,semantic
1414,Захисні рукавиці,,Хомути затискні > Захисні рукавиці,20601,Шкіряні перчатки,,Екіпіровка мотоцикліста > Мотоперчатки > Шкіряні перчатки,0.9,Точное соответствие защитным мотоперчаткам,semantic
1415,Освітлення,,Хомути затискні > Освітлення,30601,LED панелі Light Bar,,Автомобілі 4х4 > Освітлення LED > LED панелі Light Bar,0.7,Частичное соответствие категории освещения,general
1416,Ремені приводні,,Хомути затискні > Ремені приводні,10304,Свічки запалення,,Мотоцикли та квадроцикли > Електрика та освітлення > Свічки запалення,0.9,Точное соответствие приводным ремням,exact
