input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1458,Амортизатори,,"Зубчасті колеса, Ланцюги > Амортизатори",30401,Амортизатори,,Автомобілі 4х4 > Підвіска та ліфт-кіти > Амортизатори,0.9,Точне семантичне співпадіння категорії амортизаторів,semantic
1459,"Циліндри, Головки, Поршні, Кільця",,"Зубчасті колеса, Ланцюги > Циліндри, Головки, Поршні, Кільця",1010101,Поршні та циліндри,,Мотоцикли та квадроцикли > Частини для мотоциклів > Двигун і трансмісія > Поршні та циліндри,0.85,Часткове семантичне співпадіння для деталей двигуна,semantic
1461,Елементи кузова,,"Зубчасті колеса, Ланцюги > Елементи кузова",30301,Бампери та силові обвіси,,Автомобілі 4х4 > Кузовні елементи та захист > Бампери та силові обвіси,0.75,Часткове семантичне співпадіння для кузовних елементів,semantic
1462,Повітряні фільтри,,"Зубчасті колеса, Ланцюги > Повітряні фільтри",10401,Повітряні фільтри,,Мотоцикли та квадроцикли > Фільтри та олії > Повітряні фільтри,0.9,Точне семантичне співпадіння категорії повітряних фільтрів,semantic
1463,"карбюратори, крани",,"Зубчасті колеса, Ланцюги > карбюратори, крани",1010401,Карбюратори та жиклери,,Мотоцикли та квадроцикли > Частини для мотоциклів > Паливна система > Карбюратори та жиклери,0.85,Часткове семантичне співпадіння для карбюраторів,semantic
1464,Гальма,,"Зубчасті колеса, Ланцюги > Гальма",1010201,Гальмівні колодки,,Мотоцикли та квадроцикли > Частини для мотоциклів > Гальмівна система > Гальмівні колодки,0.8,Часткове семантичне співпадіння для гальмівної системи,semantic
1465,Кермо,,"Зубчасті колеса, Ланцюги > Кермо",40405,Кермо та виноси,,Велосипеди > Частини велосипеда > Кермо та виноси,0.7,Часткове семантичне співпадіння для керма,semantic
1467,кола,,"Зубчасті колеса, Ланцюги > кола",30701,Алюмінієві диски,,"Автомобілі 4х4 > Диски, шини, дистанції > Алюмінієві диски",0.75,Часткове семантичне співпадіння для коліс/дисків,semantic
1470,Наклейки,,"Зубчасті колеса, Ланцюги > Наклейки",90503,Наклейки,,Спеціальні категорії > Сувеніри та подарунки > Наклейки,0.9,Точное соответствие категории наклеек,exact
1472,Освітлення,,"Зубчасті колеса, Ланцюги > Освітлення",30601,LED панелі Light Bar,,Автомобілі 4х4 > Освітлення LED > LED панелі Light Bar,0.6,"Частичное соответствие по категории освещения, но не точное",semantic
1473,Приводні ремені,,"Зубчасті колеса, Ланцюги > Приводні ремені",10404,Трансмісійні олії,,Мотоцикли та квадроцикли > Фільтри та олії > Трансмісійні олії,0.9,Точное соответствие категории приводных ремней,exact
1476,Перемикачі,,"Зубчасті колеса, Ланцюги > Перемикачі",30606,Вимикачі та проводка,,Автомобілі 4х4 > Освітлення LED > Вимикачі та проводка,0.7,Частичное соответствие по электрическим компонентам,semantic
1478,Двигуни,,"Зубчасті колеса, Ланцюги > Двигуни",1010101,Поршні та циліндри,,Мотоцикли та квадроцикли > Частини для мотоциклів > Двигун і трансмісія > Поршні та циліндри,0.7,Частково збігається семантика двигунів та їх компонентів,semantic
1479,Зчеплення,,"Зубчасті колеса, Ланцюги > Зчеплення",1010103,Зчеплення,,Мотоцикли та квадроцикли > Частини для мотоциклів > Двигун і трансмісія > Зчеплення,1.0,Точне семантичне співпадіння,exact
1482,Глушники,,"Зубчасті колеса, Ланцюги > Глушники",1010501,Глушники,,Мотоцикли та квадроцикли > Частини для мотоциклів > Вихлопна система > Глушники,1.0,Точне семантичне співпадіння,exact
1483,Ущільнювачі,,"Зубчасті колеса, Ланцюги > Ущільнювачі",1010105,Прокладки двигуна,,Мотоцикли та квадроцикли > Частини для мотоциклів > Двигун і трансмісія > Прокладки двигуна,0.6,Часткова семантична відповідність ущільнювачів,semantic
1484,Вали,,"Зубчасті колеса, Ланцюги > Вали",1010102,Колінчастий вал та шатуни,,Мотоцикли та квадроцикли > Частини для мотоциклів > Двигун і трансмісія > Колінчастий вал та шатуни,0.8,Висока семантична відповідність валів,semantic
1460,Датчики,,"Зубчасті колеса, Ланцюги > Датчики",Не знайдено,Не найдено,,Не найдено,0.3,Немає точної категорії для датчиків у наданій структурі,unmatched
1466,Дверні ручки,,"Зубчасті колеса, Ланцюги > Дверні ручки",Не знайдено,Не найдено,,Не найдено,0.2,Немає відповідної категорії для дверних ручок,unmatched
1468,Посилання,,"Зубчасті колеса, Ланцюги > Посилання",Не найдено,Не найдено,,Не найдено,0.1,Неясна технічна категория без очевидного семантического соответствия,unmatched
1469,"Модулі, Котушки. Регулятори",,"Зубчасті колеса, Ланцюги > Модулі, Котушки. Регулятори",Не найдено,Не найдено,,Не найдено,0.2,Технический компонент без прямого соответствия в новой структуре,unmatched
1471,Привід лічильника,,"Зубчасті колеса, Ланцюги > Привід лічильника",Не найдено,Не найдено,,Не найдено,0.1,Специфическая техническая категория без соответствия,unmatched
1474,Оливні насоси,,"Зубчасті колеса, Ланцюги > Оливні насоси",Не найдено,Не найдено,,Не найдено,0.2,Специфический технический компонент без прямого соответствия,unmatched
1475,Водяні насоси,,"Зубчасті колеса, Ланцюги > Водяні насоси",Не найдено,Не найдено,,Не найдено,0.2,Специфический технический компонент без прямого соответствия,unmatched
1477,Стартери,,"Зубчасті колеса, Ланцюги > Стартери",Не найдено,Не найдено,,Не найдено,0.2,Специфический технический компонент без прямого соответствия,unmatched
1480,Станції,,"Зубчасті колеса, Ланцюги > Станції",Не знайдено,Не найдено,,Не найдено,0.0,Немає чіткого семантичного відповідника,unmatched
1481,Статори,,"Зубчасті колеса, Ланцюги > Статори",Не знайдено,Не найдено,,Не найдено,0.0,Немає спеціалізованої категорії для статорів,unmatched
1485,"Wariatory - варіатори
Rolki - ролики",,"Зубчасті колеса, Ланцюги > Wariatory - варіатори
Rolki - ролики",Не знайдено,Не найдено,,Не найдено,0.0,Немає спеціалізованої категорії для варіаторів,unmatched
