source_id,reference_id,source_name,reference_path,reference_name,method,confidence
24430,24323,Ganzo мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24431,24323,NexTool мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24432,24323,Roxon мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24460,24323,Victorinox мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24462,24395,Victorinox Кухонні ножі,Ножі та інструменти > Ножі > Кухонні ножі,Кухонні ножі,normalized,high
24468,24345,Tramp рюкзаки,Спорядження > Рюкзаки,Рюкзаки,normalized,high
24506,24397,Ножі з фіксованим клинком Cold Steel,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,normalized,high
24509,24325,Boker Plus тактичні ручки,Ножі та інструменти > Тактичні ручки,Тактичні ручки,normalized,high
24527,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,Біноклі,exact,high
24528,24390,Монокуляри,Оптика > Прилади спостереження > Монокуляри,Монокуляри,exact,high
24545,24323,Leatherman мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24570,24345,Ranger рюкзаки,Спорядження > Рюкзаки,Рюкзаки,normalized,high
24606,24345,Favorite рюкзаки,Спорядження > Рюкзаки,Рюкзаки,normalized,high
24609,24369,Select окуляри,Оптика > Аксесуари та комплектуючі > Окуляри,Окуляри,normalized,high
24615,24323,Skif мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24668,24345,Skif Outdoor рюкзаки,Спорядження > Рюкзаки,Рюкзаки,normalized,high
24677,24345,Skif Outdoor рюкзаки,Спорядження > Рюкзаки,Рюкзаки,normalized,high
24695,24349,Патчі Real Avid,Чистка та догляд > Патчі,Патчі,normalized,high
24699,24369,Walker’s окуляри,Оптика > Аксесуари та комплектуючі > Окуляри,Окуляри,normalized,high
24701,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24727,24323,Мультитули Active,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24739,24323,Lansky мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24757,24323,Boker Мультитули,Ножі та інструменти > Мультитули,Мультитули,normalized,high
24799,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24801,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24806,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24807,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24819,24337,Налобні,Ліхтарі > Налобні,Налобні,exact,high
24828,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24831,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,Аксесуари,exact,high
24845,24345,Рюкзаки,Спорядження > Рюкзаки,Рюкзаки,exact,high
24846,24346,Сумки,Спорядження > Сумки,Сумки,exact,high
24847,24373,Чохли,Ножі та інструменти > Аксесуари та комплектуючі > Чохли,Чохли,exact,high
24854,24345,Naturehike рюкзаки,Спорядження > Рюкзаки,Рюкзаки,normalized,high
24855,24346,Naturehike сумки,Спорядження > Сумки,Сумки,normalized,high
24964,24369,Umarex окуляри,Оптика > Аксесуари та комплектуючі > Окуляри,Окуляри,normalized,high
24433,24326,Adimanti лопати багатофункціональні,"Ножі та інструменти > Сокири, лопати та інше","Сокири, лопати та інше",ai,medium
24434,24351,Масла і мастила Brunox,Чистка та догляд > Засоби,Засоби,ai,medium
24435,24397,Bestech ножі,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24436,24396,Ножі Ganzo 6а серія,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24437,24396,Ножі Firebird 7а серія,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24438,24396,Ножі Ganzo 8а серія,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24439,24397,Ножі Firebird FH серія,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24440,24397,Армійські ножі Ruike,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24441,24397,Класичні ножі Ruike,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24442,24397,Спеціальні моделі Ruike,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24443,24397,Zero Tolerance ножі,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24447,24371,Ganzo точила і каміння,Ножі та інструменти > Аксесуари та комплектуючі > Ножни,Ножни,ai,medium
24448,24371,Work Sharp точильні верстати і точила,Ножі та інструменти > Аксесуари та комплектуючі > Ножни,Ножни,ai,medium
24449,24363,Fenix аксесуари,Ліхтарі > Аксесуари для ліхтарів > Інше,Інше,ai,medium
24450,24340,Велофари Fenix,Ліхтарі > Прожектори та кемпінгові ліхтарі,Прожектори та кемпінгові ліхтарі,ai,medium
24451,24340,Кемпінгові ліхтарі Fenix,Ліхтарі > Прожектори та кемпінгові ліхтарі,Прожектори та кемпінгові ліхтарі,ai,medium
24452,24336,Наключні ліхтарі,Ліхтарі > Ручні та кишенькові ліхтарі,Ручні та кишенькові ліхтарі,ai,medium
24453,24337,Налобні ліхтарі Fenix,Ліхтарі > Налобні,Налобні,ai,medium
24454,24336,Ручні стандартні ліхтарі,Ліхтарі > Ручні та кишенькові ліхтарі,Ручні та кишенькові ліхтарі,ai,medium
24455,24366,Fenix ел живлення та зарядні пристрої,Ліхтарі > Аксесуари для ліхтарів > Елементи живлення,Елементи живлення,ai,medium
24456,24366,Ел живлення та зарядні пристрої,Ліхтарі > Аксесуари для ліхтарів > Елементи живлення,Елементи живлення,ai,medium
24457,24371,Spyderco точила і каміння,Ножі та інструменти > Аксесуари та комплектуючі > Ножни,Ножни,ai,medium
24458,24326,Ganzo сокири і мачете,"Ножі та інструменти > Сокири, лопати та інше","Сокири, лопати та інше",ai,medium
24459,24327,Lansky точила і каміння,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai,medium
24461,24395,Victorinox ножі,Ножі та інструменти > Ножі > Кухонні ножі,Кухонні ножі,ai,medium
24463,24327,Victorinox точила і каміння,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai,medium
24464,24345,"Victorinox рюкзаки, багаж",Спорядження > Рюкзаки,Рюкзаки,ai,medium
24465,24327,Ruixin точила,Ножі та інструменти > Точильні пристосування,Точильні пристосування,ai,medium
24466,24395,Ножі Adimanti Skimen design,Ножі та інструменти > Ножі > Кухонні ножі,Кухонні ножі,ai,medium
24476,24326,Nextool лопати багатофункціональні,"Ножі та інструменти > Сокири, лопати та інше","Сокири, лопати та інше",ai,medium
24490,24348,Work Sharp аксесуари до професiйних кухонних точилок,"Чистка та догляд > Насадки (йоржики, вішери і т.д.)","Насадки (йоржики, вішери і т.д.)",ai,medium
24491,24348,Work Sharp аксесуари до унiверсальних  электричних точилок,"Чистка та догляд > Насадки (йоржики, вішери і т.д.)","Насадки (йоржики, вішери і т.д.)",ai,medium
24498,24336,Ліхтарі для дайвінгу Fenix,Ліхтарі > Ручні та кишенькові ліхтарі,Ручні та кишенькові ліхтарі,ai,medium
24499,24340,Індустріальні ліхтарі Fenix,Ліхтарі > Прожектори та кемпінгові ліхтарі,Прожектори та кемпінгові ліхтарі,ai,medium
24500,24338,Мисливські ліхтарі Fenix,Ліхтарі > Тактичні,Тактичні,ai,medium
24501,24363,Набори Fenix,Ліхтарі > Аксесуари для ліхтарів > Інше,Інше,ai,medium
24502,24336,Повсякденні ліхтарі Fenix,Ліхтарі > Ручні та кишенькові ліхтарі,Ручні та кишенькові ліхтарі,ai,medium
24503,24338,Пошуково-рятувальні ліхтарі Fenix,Ліхтарі > Тактичні,Тактичні,ai,medium
24504,24338,Тактичні ліхтарі Fenix,Ліхтарі > Тактичні,Тактичні,ai,medium
24505,24396,Cold Steel ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24507,24396,Ножі складні Cold Steel,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24508,24396,Spyderco ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24510,24396,Boker ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24511,24396,Boker Plus ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24512,24396,Magnum by Boker ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24514,24323,Kershaw інструменти,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24515,24397,Kershaw ножі,Ножі та інструменти > Ножі > Ножі з фіксованим клинком,Ножі з фіксованим клинком,ai,medium
24525,24396,CJRB ножі,Ножі та інструменти > Ножі > Складні ножі,Складні ножі,ai,medium
24529,24389,Підзорні труби,Оптика > Прилади спостереження > Підзорні труби і телескопи,Підзорні труби і телескопи,ai,medium
24530,24392,Приціли,Оптика > Приціли > Оптичні,Оптичні,ai,medium
24535,24340,SKIF Outdoor ліхтарі,Ліхтарі > Прожектори та кемпінгові ліхтарі,Прожектори та кемпінгові ліхтарі,ai,medium
24536,24409,Пневматичні гвинтівки Artemis,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24537,24409,Пневматичні гвинтівки Ekol,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24538,24409,Пневматичні гвинтівки Hatsan,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24539,24409,Пневматичні гвинтівки SPA,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пневматичні гвинтівки PCP (з попереднім накачуванням),Пневматичні гвинтівки PCP (з попереднім накачуванням),ai,medium
24540,24415,Пневматичні пістолети Zbroia,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,Пружинно-поршневі,ai,medium
24541,24415,Пневматичні пістолети KWC,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,Пружинно-поршневі,ai,medium
24542,24415,Пневматичні пістолети Profi,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,Пружинно-поршневі,ai,medium
24543,24415,Пневматичні пістолети SPA,Зброя > Пневматична зброя > Пневматичні пістолети > Пружинно-поршневі,Пружинно-поршневі,ai,medium
24546,24323,Leatherman ножі,Ножі та інструменти > Мультитули,Мультитули,ai,medium
24565,24345,"Кемпинг рюкзаки, сумки",Спорядження > Рюкзаки,Рюкзаки,ai,medium
24568,24345,Novator рюкзаки та сумки,Спорядження > Рюкзаки,Рюкзаки,ai,medium
