source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25080,Біноклі Konus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25081,Біноклі Olympus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25082,Біноклі Yukon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25083,Біноклі Nikon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25084,Біноклі Carl Zeiss,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25170,Кріплення AGM,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25264,Кріплення INNOMOUNT,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25265,Кріплення ATN Contessa,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25266,Кріплення Pulsar,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25267,Кріплення MAK,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25268,Кріплення NVECTECH / IRAY,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25005,Телескопи,24389,Підзорні труби і телескопи,Оптика > Прилади спостереження > Підзорні труби і телескопи,ai,medium
25009,Тепловізори Rix,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25013,Тепловізори ARMASIGHT,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25014,Тепловізори ATN OTS-HD,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25016,Тепловізори Guide,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25017,Тепловізори NVECTECH,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25018,Тепловізори ATN OTS,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25019,Тепловізори ThermEye Cyclops,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25020,Тепловізори DAHUA,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25021,Тепловізори DALI,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25022,Тепловізори Lahoux,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25024,Тепловізори Dipol,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25025,Тепловізори KONUS,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25026,Тепловізори Seek Thermal,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
