source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25367,Біноклі,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,exact,high
25368,Монокуляри,24390,Монокуляри,Оптика > Прилади спостереження > Монокуляри,exact,high
25379,Аксесуари,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,exact,high
25383,Кріплення,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,exact,high
25384,Далекоміри,24329,Далекоміри,Оптика > Далекоміри,exact,high
25369,Підзорні труби,24389,Підзорні труби і телескопи,Оптика > Прилади спостереження > Підзорні труби і телескопи,ai,medium
25370,Телескопи,24389,Підзорні труби і телескопи,Оптика > Прилади спостереження > Підзорні труби і телескопи,ai,medium
25381,Оптичні приціли,24392,Оптичні,Оптика > Приціли > Оптичні,ai,medium
25382,Коліматори,24391,Коліматорні,Оптика > Приціли > Коліматорні,ai,medium
25371,Аксесуари до телескопів,24370,Інше,Оптика > Аксесуари та комплектуючі > Інше,ai_force,medium
25386,ПНБ,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_force,medium
25390,Ліхтарики,24336,Ручні та кишенькові ліхтарі,Ліхтарі > Ручні та кишенькові ліхтарі,ai_force,medium
