source_id,source_name,reference_id,reference_name,reference_path,method,confidence
24987,Ретранслятори,24438,Ретранслятори,Зв'язок > Ретранслятори,exact,high
25002,Рації,24437,Рації,Зв'язок > Рації,exact,high
25066,Квадрокоптери AUTEL,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,normalized,high
25069,Антени,24436,Антени,Дрони та безпілотники > Антени,exact,high
25080,Біноклі Konus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25081,Біноклі Olympus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25082,Біноклі Yukon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25083,Біноклі Nikon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25084,Біноклі Carl Zeiss,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25170,Кріплення AGM,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25264,Кріплення INNOMOUNT,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25265,Кріплення ATN Contessa,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25266,Кріплення Pulsar,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25267,Кріплення MAK,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25268,Кріплення NVECTECH / IRAY,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25005,Телескопи,24389,Підзорні труби і телескопи,Оптика > Прилади спостереження > Підзорні труби і телескопи,ai_deep,high
25009,Тепловізори Rix,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25013,Тепловізори ARMASIGHT,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25014,Тепловізори ATN OTS-HD,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25016,Тепловізори Guide,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25017,Тепловізори NVECTECH,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25018,Тепловізори ATN OTS,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25019,Тепловізори ThermEye Cyclops,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25020,Тепловізори DAHUA,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25021,Тепловізори DALI,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25022,Тепловізори Lahoux,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25024,Тепловізори Dipol,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25025,Тепловізори KONUS,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25026,Тепловізори Seek Thermal,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
25027,Тепловізори Leupold,24444,Тепловізійна техніка,Оптика > Тепловізійна техніка,ai_deep,high
