source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25276,Стартова (шумова) зброя,24472,Стартова (шумова) зброя,Зброя > Стартова (шумова) зброя,exact,high
25284,Холості набої,24466,Холості набої,Набої > Холості набої,exact,high
25297,Окуляри,24369,Окуляри,Оптика > Аксесуари та комплектуючі > Окуляри,exact,high
25299,Головні убори,24461,Головні убори,Спорядження > Головні убори,exact,high
25300,Рукавички,24462,Рукавички,Спорядження > Рукавички,exact,high
25301,Аксесуари,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,exact,high
25303,Спортивні товари,24467,Спортивні товари,"Активний відпочинок, туризм та хобі > Спортивні товари",exact,high
25306,Мангали,24471,Мангали,"Активний відпочинок, туризм та хобі > Мангали",exact,high
25309,Генератори,24463,Генератори,"Активний відпочинок, туризм та хобі > Генератори",exact,high
25310,Мультитули,24323,Мультитули,Ножі та інструменти > Мультитули,exact,high
25312,Повербанки та акумулятори,24464,Повербанки та акумулятори,"Активний відпочинок, туризм та хобі > Повербанки та акумулятори",exact,high
25313,Іграшки,24465,Іграшки,"Активний відпочинок, туризм та хобі > Іграшки",exact,high
25275,Зброя під патрон Флобера,24410,Пружинно-поршневі гвинтівки,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пружинно-поршневі гвинтівки,ai_deep,high
25277,Страйкбольна зброя,24386,Страйкбол,Зброя > Пневматична зброя > Страйкбол,ai_deep,high
25278,Макети масо-габаритні,24468,Макети,Зброя > Макети,ai_deep,high
25279,Оптика збройова,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25280,"Кобури, підсумки і чохли",24341,Кобури та сумки,Спорядження > Кобури та сумки,ai_deep,high
25281,"Аксесуари, тюнінг зброї",24313,Інше,Тюнінг > Інше,ai_deep,high
25282,Кулі для пневматики,24419,Кульки та кулі,Зброя > Пневматична зброя > Набої > Кульки та кулі,ai_deep,high
25283,Патрони Флобера,24418,Набої Флобера,Зброя > Пневматична зброя > Набої > Набої Флобера,ai_deep,high
25285,Кульки BB,24320,Набої для холодної пристрілки,Набої > Набої для холодної пристрілки,ai_deep,high
25288,Б/В пневматичні гвинтівки,24410,Пружинно-поршневі гвинтівки,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пружинно-поршневі гвинтівки,ai_deep,high
25290,Б/В Флобери,24386,Страйкбол,Зброя > Пневматична зброя > Страйкбол,ai_deep,high
25291,Б/В стартова зброя,24472,Стартова (шумова) зброя,Зброя > Стартова (шумова) зброя,ai_deep,high
25294,Б/В страйкбольна зброя,24386,Страйкбол,Зброя > Пневматична зброя > Страйкбол,ai_deep,high
25295,Б/В кобури,24341,Кобури та сумки,Спорядження > Кобури та сумки,ai_deep,high
25296,Сумки та рюкзаки,24346,Сумки,Спорядження > Сумки,ai_deep,high
25298,Одяг,24360,Інше,Одяг та взуття > Інше,ai_deep,high
25302,Навушники тактичні,24342,Навушники,Спорядження > Навушники,ai_deep,high
25304,Туристичні меблі,24456,"Стільці, крісла","Активний відпочинок, туризм та хобі > Стільці, крісла",ai_deep,high
25307,Ліхтарі,24336,Ручні та кишенькові ліхтарі,Ліхтарі > Ручні та кишенькові ліхтарі,ai_deep,high
