source_id,source_name,reference_id,reference_name,reference_path,method,confidence
24987,Ретранслятори,24438,Ретранслятори,Зв'язок > Ретранслятори,exact,high
25002,Рації,24437,Рації,Зв'язок > Рації,exact,high
25066,Квадрокоптери AUTEL,24434,Квадрокоптери,Дрони та безпілотники > Квадрокоптери,normalized,high
25069,Антени,24436,Антени,Дрони та безпілотники > Антени,exact,high
25080,Біноклі Konus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25081,Біноклі Olympus,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25082,Біноклі Yukon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25083,Біноклі Nikon,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25084,Біноклі Carl Zeiss,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,normalized,high
25170,Кріплення AGM,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25264,Кріплення INNOMOUNT,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25265,Кріплення ATN Contessa,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25266,Кріплення Pulsar,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25267,Кріплення MAK,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25268,Кріплення NVECTECH / IRAY,24362,Кріплення,Ліхтарі > Аксесуари для ліхтарів > Кріплення,normalized,high
25005,Телескопи,24389,Підзорні труби і телескопи,Оптика > Прилади спостереження > Підзорні труби і телескопи,ai_deep,high
25024,Тепловізори Dipol,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25032,Тепловізійні приціли Rix,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25040,Тепловізійні приціли GUIDE,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25044,Тепловізійні приціли Delta,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25046,ATN MARS-HD,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25051,ATN THOR-HD,24392,Оптичні,Оптика > Приціли > Оптичні,ai_deep,high
25056,Тепловізійні насадки Guide,24370,Інше,Оптика > Аксесуари та комплектуючі > Інше,ai_deep,high
25057,Тепловізійні насадки HikMicro,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25058,Тепловізійні насадки INFIRAY,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25059,Тепловізійні насадки Pulsar,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25060,Тепловізійні насадки ATN,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
25061,Тепловізійні насадки Armasight,24393,Аксесуари,Оптика > Приціли та прилади нічного бачення (ПНБ) > Аксесуари,ai_deep,high
