source_id,source_name,reference_id,reference_name,reference_path,method,confidence
25427,Інше,24313,Інше,Тюнінг > Інше,exact,high
25433,Кейси,24403,Кейси,Спорядження > Чохли і кейси збройові > Кейси,exact,high
25437,Підсумки,24356,Підсумки,Аксесуари > Підсумки,exact,high
25438,Ремені збройові,24357,Ремені збройові,Аксесуари > Ремені збройові,exact,high
25439,Сейфи збройові,24300,Сейфи збройові,Сейфи збройові,exact,high
25440,Чохли,24373,Чохли,Ножі та інструменти > Аксесуари та комплектуючі > Чохли,exact,high
25454,Біноклі,24387,Біноклі,Оптика > Прилади спостереження > Біноклі,exact,high
25455,Далекоміри,24329,Далекоміри,Оптика > Далекоміри,exact,high
25456,Монокуляри,24390,Монокуляри,Оптика > Прилади спостереження > Монокуляри,exact,high
25459,Інші комплектуючі,24413,Інші комплектуючі,Зброя > Вогнепальна зброя > Пістолети та револьвери > Комплектуючі > Інші комплектуючі,exact,high
25470,Коліматорні,24391,Коліматорні,Оптика > Приціли > Коліматорні,exact,high
25475,Оптичні,24392,Оптичні,Оптика > Приціли > Оптичні,exact,high
25486,Інше,24313,Інше,Тюнінг > Інше,exact,high
25498,Магазини,24406,Магазини,Зброя > Травматична зброя > Комплектуючі > Магазини,exact,high
25503,Пружинно-поршневі гвинтівки,24410,Пружинно-поршневі гвинтівки,Зброя > Пневматична зброя > Пневматичні гвинтівки > Пружинно-поршневі гвинтівки,exact,high
25505,Балони СО2,24421,Балони СО2,Зброя > Пневматична зброя > Аксесуари та комплектуючі > Балони СО2,exact,high
25546,Інше,24313,Інше,Тюнінг > Інше,exact,high
25551,Упори для стрільби,24358,Упори для стрільби,Аксесуари > Упори для стрільби,exact,high
25554,Навушники,24342,Навушники,Спорядження > Навушники,exact,high
25563,Антабки,24306,Антабки,Тюнінг > Антабки,exact,high
25565,Запчастини,24476,Запчастини,Релоадинг > Для гладкоствола > Запчастини,exact,high
25566,Ключі та інструменти,24309,Ключі та інструменти,Тюнінг > Ключі та інструменти,exact,high
25568,Магазини,24406,Магазини,Зброя > Травматична зброя > Комплектуючі > Магазини,exact,high
25569,Потиличники,24308,Потиличники,Тюнінг > Потиличники,exact,high
