1724,Продуктивність Baxter,,Продуктивність Baxter,Не найдено,Не найдено,,Не найдено,0.0,"Недостаточно информации для сопоставления, нет семантической привязки к существующим категориям",unmatched
1723,Частини MOPAR,,Частини MOPAR,Не найдено,Не найдено,,Не найдено,0.0,"Недостаточно информации для сопоставления, нет семантической привязки к существующим категориям",unmatched
1689,Дахи,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Дахи",Не найдено,Не найдено,,Не найдено,0.0,Нет точной категории для крыш в предоставленной структуре,unmatched
1701,Кришка заливної горловини,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Кришка заливної горловини",Не найдено,Не найдено,,Не найдено,0.0,Немає точної відповідності в наданій структурі категорій,unmatched
1690,Маски і ґрилі,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Маски і ґрилі",Не найдено,Не найдено,,Не найдено,0.0,Немає точної відповідності в наданій структурі категорій,unmatched
1684,"Кріплення до Автомобілів - тримачі до скоб для буксирування, гаки для буксирування",,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Кріплення до Автомобілів - тримачі до скоб для буксирування, гаки для буксирування",Не найдено,Не найдено,,Не найдено,0.0,Немає точної відповідності в наданій структурі категорій,unmatched
1695,Чохли на автомобіль,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Чохли на автомобіль",Не найдено,Не найдено,,Не найдено,0.0,Немає точної відповідності в наданій структурі категорій,unmatched
1698,Кришки багажника | Ролети,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Кришки багажника | Ролети",Не найдено,Не найдено,,Не найдено,0.0,Немає точної відповідності в наданій структурі категорій,unmatched
1693,Переміщення табличок,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Переміщення табличок",Не найдено,Не найдено,,Не найдено,0.0,Немає відповідної категорії,unmatched
1692,"Запонки, Гвинтики",,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Запонки, Гвинтики",Не найдено,Не найдено,,Не найдено,0.0,Немає відповідної категорії,unmatched
1696,Корпуси кузова | Твердотільні корпуси,,"Елементи кузова і шасі | Багажники, бампери, захисні кришки > Корпуси кузова | Твердотільні корпуси",Не найдено,Не найдено,,Не найдено,0.0,Немає відповідної категорії,unmatched
1772,Чохли на колеса,,"Диски, Розпірки, Шини > Чохли на колеса",Не найдено,Не найдено,,Не найдено,0.3,Нет точного соответствия в новой структуре,unmatched
1771,Ремонтні комплекти,,"Диски, Розпірки, Шини > Ремонтні комплекти",Не найдено,Не найдено,,Не найдено,0.3,Нет точного соответствия в новой структуре,unmatched
