input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
5996,Безалкогольне вино,,Алкоголь > Вино > Безалкогольне вино,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,0.7,Найближча категорія для безалкогольного вина,semantic
5990,Біле тихе вино,,Алкоголь > Вино > Біле тихе вино,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,1.0,Точне співпадіння категорії тихих вин,exact
5995,Вермут,,Алкоголь > Вино > Вермут,601,Вермути,,Алкоголь. Напої. Тютюн > Алкоголь > Вермути,1.0,Точне співпадіння категорії вермутів,exact
5992,Кагор,,Алкоголь > Вино > Кагор,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,0.9,Різновид тихого вина,semantic
5994,Портвейн,,Алкоголь > Вино > Портвейн,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,0.9,Різновид тихого вина,semantic
5991,Рожеве тихе вино,,Алкоголь > Вино > Рожеве тихе вино,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,1.0,Точне співпадіння категорії тихих вин,exact
5993,Херес,,Алкоголь > Вино > Херес,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,0.9,Різновид тихого вина,semantic
5989,Червоне тихе вино,,Алкоголь > Вино > Червоне тихе вино,582,Тихі вина,,Алкоголь. Напої. Тютюн > Алкоголь > Тихі вина,1.0,Точне співпадіння категорії тихих вин,exact
6017,Бальзам,,Алкоголь > Лікер та Бальзам > Бальзам,580,"Лікери, бальзами, біттери",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Лікери, бальзами, біттери",1.0,Точне співпадіння категорії лікерів та бальзамів,exact
6016,Лікер,,Алкоголь > Лікер та Бальзам > Лікер,580,"Лікери, бальзами, біттери",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Лікери, бальзами, біттери",1.0,Точне співпадіння категорії лікерів та бальзамів,exact
6009,Абсент,,Алкоголь > Міцний алкоголь > Абсент,580,"Лікери, бальзами, біттери",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Лікери, бальзами, біттери",0.7,"Абсент - це лікер, тому найближча категорія - лікери та біттери",semantic
6003,Бренді,,Алкоголь > Міцний алкоголь > Бренді,573,"Коньяк, бренді",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Коньяк, бренді",1.0,Точне співпадіння категорії бренді,exact
6006,Бурбон,,Алкоголь > Міцний алкоголь > Бурбон,572,Віскі,,Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Віскі,0.8,"Бурбон є різновидом віскі, тому підходить категорія віскі",semantic
5998,Віскі,,Алкоголь > Міцний алкоголь > Віскі,572,Віскі,,Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Віскі,1.0,Точне співпадіння категорії віскі,exact
5999,Горілка,,Алкоголь > Міцний алкоголь > Горілка,578,Горілка,,Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Горілка,1.0,Точне співпадіння категорії горілки,exact
6008,Граппа,,Алкоголь > Міцний алкоголь > Граппа,580,"Лікери, бальзами, біттери",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Лікери, бальзами, біттери",0.6,"Граппа - спиртний напій, який важко точно класифікувати",general
6002,Джин,,Алкоголь > Міцний алкоголь > Джин,575,Джин,,Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Джин,1.0,Точне співпадіння категорії джину,exact
6001,Коньяк,,Алкоголь > Міцний алкоголь > Коньяк,573,"Коньяк, бренді",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Коньяк, бренді",1.0,Точне співпадіння категорії коньяку,exact
6004,Настоянки,,Алкоголь > Міцний алкоголь > Настоянки,579,"Настоянки, наливки",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Настоянки, наливки",1.0,Точне співпадіння категорії настоянок,exact
6000,Ром,,Алкоголь > Міцний алкоголь > Ром,574,Ром,,Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Ром,1.0,Точне співпадіння категорії рому,exact
6005,Текіла,,Алкоголь > Міцний алкоголь > Текіла,576,"Текіла, агавові дистиляти",,"Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Текіла, агавові дистиляти",1.0,Точное совпадение категории текилы в структуре алкогольных напитков,exact
6007,Чача,,Алкоголь > Міцний алкоголь > Чача,577,Азійський алкоголь,,Алкоголь. Напої. Тютюн > Алкоголь > Міцний алкоголь > Азійський алкоголь,0.6,"Нет точной категории для чачи, ближайшее - азиатский алкоголь",general
5987,Безалкогольне пиво,,Алкоголь > Пиво > Безалкогольне пиво,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.7,Безалкогольное пиво включено в общую категорию пива,semantic
5985,Ель,,Алкоголь > Пиво > Ель,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.8,Ель как разновидность пива попадает в общую категорию пива,semantic
5983,Лагер,,Алкоголь > Пиво > Лагер,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.8,Лагер как разновидность пива попадает в общую категорию пива,semantic
5986,Пивні мікси,,Алкоголь > Пиво > Пивні мікси,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.7,Пивные миксы включены в общую категорию пива,semantic
5984,Пілснер,,Алкоголь > Пиво > Пілснер,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.8,Пилснер как разновидность пива попадает в общую категорию пива,semantic
5981,Світле пиво,,Алкоголь > Пиво > Світле пиво,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.8,Светлое пиво попадает в общую категорию пива,semantic
5982,Темне пиво,,Алкоголь > Пиво > Темне пиво,602,Пиво,,Алкоголь. Напої. Тютюн > Алкоголь > Пиво,0.8,Темное пиво попадает в общую категорию пива,semantic
6019,Сидр,,Алкоголь > Сидр і слабоалкогольні напої > Сидр,608,Сидр та збитень,,"Алкоголь. Напої. Тютюн > Алкоголь > Слабоалкогольні напої, сидр > Сидр та збитень",1.0,Точное совпадение категории сидра,exact
6020,Слабоалкогольні напої,,Алкоголь > Сидр і слабоалкогольні напої > Слабоалкогольні напої,610,Коктейлі,,"Алкоголь. Напої. Тютюн > Алкоголь > Слабоалкогольні напої, сидр > Коктейлі",0.9,Точне семантичне співпадіння в категорії слабоалкогольних напоїв,semantic
6014,Безалкогольне шампанське та ігристе вино,,Алкоголь > Шампанське та ігристе вино > Безалкогольне шампанське та ігристе вино,590,Ігристі вина та шампанське,,Алкоголь. Напої. Тютюн > Алкоголь > Ігристі вина та шампанське,0.8,Часткове співпадіння в категорії ігристих вин,general
6012,Біле шампанське та ігристе вино,,Алкоголь > Шампанське та ігристе вино > Біле шампанське та ігристе вино,590,Ігристі вина та шампанське,,Алкоголь. Напої. Тютюн > Алкоголь > Ігристі вина та шампанське,0.9,Точне співпадіння в категорії ігристих вин,exact
6013,Рожеве шампанське та ігристе вино,,Алкоголь > Шампанське та ігристе вино > Рожеве шампанське та ігристе вино,590,Ігристі вина та шампанське,,Алкоголь. Напої. Тютюн > Алкоголь > Ігристі вина та шампанське,0.9,Точне співпадіння в категорії ігристих вин,exact
6011,Червоне шампанське та ігристе вино,,Алкоголь > Шампанське та ігристе вино > Червоне шампанське та ігристе вино,590,Ігристі вина та шампанське,,Алкоголь. Напої. Тютюн > Алкоголь > Ігристі вина та шампанське,0.9,Точне співпадіння в категорії ігристих вин,exact
5652,Борошно,,Бакалія > Борошно,328,Інші види борошна,,Бакалія і консерви > Борошно > Інші види борошна,0.9,Точне співпадіння в категорії борошна,exact
5631,Ароматизатори харчові,,Бакалія > Для випічки та десертів > Ароматизатори харчові,392,Ароматизатори,,Бакалія і консерви > Соуси і спеції > Все для випічки > Ароматизатори,0.9,Точне співпадіння в категорії ароматизаторів для випічки,exact
5618,Желатин,,Бакалія > Для випічки та десертів > Желатин,392,Ароматизатори,,Бакалія і консерви > Соуси і спеції > Все для випічки > Ароматизатори,0.6,Часткове семантичне співпадіння в категорії для випічки,semantic
5617,Желе,,Бакалія > Для випічки та десертів > Желе,401,"Кисіль, желе, пудинги",,"Бакалія і консерви > Соуси і спеції > Все для випічки > Кисіль, желе, пудинги",0.9,Точне семантичне співпадіння для желе,semantic
5632,Згущувач,,Бакалія > Для випічки та десертів > Згущувач,402,"Крохмаль, загущувач",,"Бакалія і консерви > Соуси і спеції > Все для випічки > Крохмаль, загущувач",1.0,Точне співпадіння категорії,exact
