input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
15252,Інструменти та гаражні аксесуари,,Для мотоцикла > Інструменти та гаражні аксесуари > Інструменти та гаражні аксесуари,36813,Набори інструментів,,Інструменти та гараж > Набори інструментів,0.9,Точное соответствие по типу инструментов,semantic
15248,Зарядний пристрій акумулятора,,Для мотоцикла > Інструменти та гаражні аксесуари > Зарядний пристрій акумулятора,36815,Зарядні пристрої акумулятора,,Інструменти та гараж > Зарядні пристрої акумулятора,1.0,Точное соответствие по названию,exact
15249,Каністри,,Для мотоцикла > Інструменти та гаражні аксесуари > Каністри,36816,Каністри,,Інструменти та гараж > Каністри,1.0,Точное соответствие по названию,exact
15251,Компресори,,Для мотоцикла > Інструменти та гаражні аксесуари > Компресори,36814,Компресори і манометри,,Інструменти та гараж > Компресори і манометри,0.9,"Семантическое соответствие, включает компрессоры",semantic
15247,Манометри,,Для мотоцикла > Інструменти та гаражні аксесуари > Манометри,36814,Компресори і манометри,,Інструменти та гараж > Компресори і манометри,1.0,Точное соответствие в категории,exact
15250,Набори інструментів,,Для мотоцикла > Інструменти та гаражні аксесуари > Набори інструментів,36813,Набори інструментів,,Інструменти та гараж > Набори інструментів,1.0,Точное соответствие по названию,exact
15243,Підйомники Мотоциклетні,,Для мотоцикла > Інструменти та гаражні аксесуари > Підйомники Мотоциклетні,36812,Підйомники та ролики,,Інструменти та гараж > Підйомники та ролики,1.0,Точное соответствие по типу,exact
15244,Ролики до підйомників,,Для мотоцикла > Інструменти та гаражні аксесуари > Ролики до підйомників,36812,Підйомники та ролики,,Інструменти та гараж > Підйомники та ролики,1.0,Точное соответствие по типу,exact
15245,Транспорт,,Для мотоцикла > Інструменти та гаражні аксесуари > Транспорт,36818,Транспорт та кріплення,,Інструменти та гараж > Транспорт та кріплення,0.9,Семантическое соответствие по транспортировке,semantic
15246,Чохли,,Для мотоцикла > Інструменти та гаражні аксесуари > Чохли,36817,Чохли,,Інструменти та гараж > Чохли,1.0,Точное соответствие по названию,exact
27664,Зарядні пристрої,,Для мотоцикла > Аксесуари для мотоцикла > Зарядні пристрої,36815,Зарядні пристрої акумулятора,,Інструменти та гараж > Зарядні пристрої акумулятора,0.9,Семантическое соответствие по зарядным устройствам,semantic
27648,Аксесуари,,Для мотоцикла > Аксесуари для мотоцикла > Кріплення GPS / Телефон > Аксесуари,36822,Аксесуари,,Тримачі та кріплення > Аксесуари,0.9,Точне семантичне співпадіння за категорією аксесуарів,semantic
15293,Кріплення GPS,,Для мотоцикла > Аксесуари для мотоцикла > Кріплення GPS / Телефон > Кріплення GPS,36821,Тримачі для навігаторів і камер,,Тримачі та кріплення > Тримачі для навігаторів і камер,0.95,Точне семантичне співпадіння для кріплень GPS,semantic
27646,Тримачі на кермо,,Для мотоцикла > Аксесуари для мотоцикла > Кріплення GPS / Телефон > Тримачі на кермо,36820,Тримачі для телефону,,Тримачі та кріплення > Тримачі для телефону,0.85,Близьке семантичне співпадіння для тримачів,semantic
27667,Регулювальні ручки,,Для мотоцикла > Аксесуари для мотоцикла > Регулювальні ручки,36756,"Ручки, важелі, перемикачі",,"Запчастини та сервіс > Ручки, важелі, перемикачі",0.8,Семантичне співпадіння за типом аксесуарів,semantic
8905,Інструментальні сумки,,Для мотоцикла > Багаж > Інструментальні сумки,36730,Інструментальні сумки,,Багаж > Інструментальні сумки,1.0,Точне співпадіння категорії,exact
8904,Інше,,Для мотоцикла > Багаж > Інше,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.7,Найближча категорія для різних допоміжних аксесуарів багажу,general
2700,Дедиковані бокові кофри,,Для мотоцикла > Багаж > Дедиковані бокові кофри,36721,Бокові кофри,,Багаж > Бокові кофри,1.0,Точне семантичне співпадіння для бокових кофрів,exact
2716,Дедиковані комплекти центральних кофрів,,Для мотоцикла > Багаж > Дедиковані комплекти центральних кофрів,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.9,Найближча категорія для центральних кофрів,semantic
2471,Дедиковані текстильні сумки,,Для мотоцикла > Багаж > Дедиковані текстильні сумки,36725,Текстильні,,Багаж > Сумки бокові > Текстильні,0.8,Найближча категорія для текстильних сумок,semantic
2469,Конфігуратор кофрів,,Для мотоцикла > Багаж > Конфігуратор кофрів,36732,Замки,,Багаж > Аксесуари до кофрів > Замки,0.6,Часткове співпадіння з аксесуарами до кофрів,general
2470,Конфігуратор сумок на бак і мішків,,Для мотоцикла > Багаж > Конфігуратор сумок на бак і мішків,36722,Сумки на бак,,Багаж > Сумки на бак,0.9,Точне співпадіння для сумок на бак,exact
2730,Інше,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Інше,36734,Внутрішні сумки,,Багаж > Аксесуари до кофрів > Внутрішні сумки,0.6,Часткове співпадіння з аксесуарами до кофрів,general
2722,Багажники,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Багажники,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.8,Найближча категорія для кріплень та рамок,semantic
2729,Замки,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Замки,36732,Замки,,Багаж > Аксесуари до кофрів > Замки,1.0,Точне співпадіння для замків кофрів,exact
2725,Кришки кофрів,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Кришки кофрів,36735,Кришки,,Багаж > Аксесуари до кофрів > Кришки,1.0,Точне співпадіння для кришок кофрів,exact
2726,Сітки для багажу,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Сітки для багажу,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",1.0,Точне співпадіння для сіток та кріплень,exact
2724,Спинки,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Спинки,36733,Спинки,,Багаж > Аксесуари до кофрів > Спинки,1.0,Точне співпадіння для спинок кофрів,exact
2727,Стоп-сигнали,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Стоп-сигнали,36736,Стоп-сигнали,,Багаж > Аксесуари до кофрів > Стоп-сигнали,1.0,Точне співпадіння для стоп-сигналів кофрів,exact
2728,Сумки для кофрів,,Для мотоцикла > Багаж > Кофри > GIVI Аксесуари > Сумки для кофрів,36734,Внутрішні сумки,,Багаж > Аксесуари до кофрів > Внутрішні сумки,1.0,Точне співпадіння для внутрішніх сумок кофрів,exact
2719,GIVI Центральні кофри великі,,Для мотоцикла > Багаж > Кофри > GIVI Центральні кофри великі,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.9,Найближча категорія для центральних кофрів,semantic
2720,GIVI Центральні міські кофри,,Для мотоцикла > Багаж > Кофри > GIVI Центральні міські кофри,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.9,Найближча категорія для центральних кофрів,semantic
2768,Інше,,Для мотоцикла > Багаж > Кофри > Hepco&Becker Аксесуари > Інше,36734,Внутрішні сумки,,Багаж > Аксесуари до кофрів > Внутрішні сумки,0.6,Часткове співпадіння з аксесуарами до кофрів,general
34890,Кріплення сумок на задню частину,,Для мотоцикла > Багаж > Кофри > Hepco&Becker Аксесуари > М'який багаж > Кріплення сумок на задню частину,36727,Сумки на задню частину,,Багаж > Сумки на задню частину,0.9,Точне співпадіння для сумок на задню частину,exact
2767,Спинки,,Для мотоцикла > Багаж > Кофри > Hepco&Becker Аксесуари > Спинки,36733,Спинки,,Багаж > Аксесуари до кофрів > Спинки,1.0,Точне співпадіння для спинок кофрів,exact
2742,Hepco&Becker Бокові кофри,,Для мотоцикла > Багаж > Кофри > Hepco&Becker Бокові кофри,36721,Бокові кофри,,Багаж > Бокові кофри,0.9,Точное соответствие типу бокових кофрів,exact
2741,Hepco&Becker Центральні кофри,,Для мотоцикла > Багаж > Кофри > Hepco&Becker Центральні кофри,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.85,Близьке семантичне співставлення центральних кофрів,semantic
2740,Інше,,Для мотоцикла > Багаж > Кофри > KAPPA Аксесуари > Інше,36732,Замки,,Багаж > Аксесуари до кофрів > Замки,0.7,Часткове співставлення з аксесуарами до кофрів,general
2734,Багажники,,Для мотоцикла > Багаж > Кофри > KAPPA Аксесуари > Багажники,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.8,Семантичне співставлення з кріпленнями та рамками,semantic
2738,Замки,,Для мотоцикла > Багаж > Кофри > KAPPA Аксесуари > Замки,36732,Замки,,Багаж > Аксесуари до кофрів > Замки,1.0,Точне співставлення замків для кофрів,exact
2735,Спинки,,Для мотоцикла > Багаж > Кофри > KAPPA Аксесуари > Спинки,36733,Спинки,,Багаж > Аксесуари до кофрів > Спинки,1.0,Точне співставлення спинок для кофрів,exact
2736,Стоп-сигнали,,Для мотоцикла > Багаж > Кофри > KAPPA Аксесуари > Стоп-сигнали,36736,Стоп-сигнали,,Багаж > Аксесуари до кофрів > Стоп-сигнали,1.0,Точне співставлення стоп-сигналів для кофрів,exact
2737,Сумки для кофрів,,Для мотоцикла > Багаж > Кофри > KAPPA Аксесуари > Сумки для кофрів,36734,Внутрішні сумки,,Багаж > Аксесуари до кофрів > Внутрішні сумки,0.9,Семантичне співставлення внутрішніх сумок для кофрів,semantic
2732,KAPPA Центральні великі кофри,,Для мотоцикла > Багаж > Кофри > KAPPA Центральні великі кофри,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.85,Семантичне співставлення центральних кофрів,semantic
2760,Замки,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Замки,36732,Замки,,Багаж > Аксесуари до кофрів > Замки,1.0,Точное совпадение пути и семантики,exact
2755,Підставки ADVENTURE-RACK,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Підставки ADVENTURE-RACK,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Семантически близкая категория для рамок и креплений,semantic
2756,Підставки ALU-RACK,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Підставки ALU-RACK,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Семантически близкая категория для рамок и креплений,semantic
2758,Підставки STEEL-RACK,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Підставки STEEL-RACK,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Семантически близкая категория для рамок и креплений,semantic
2759,Підставки STREET-RACK,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Підставки STREET-RACK,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Семантически близкая категория для рамок и креплений,semantic
2757,Підставки Інше/Плити,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Підставки Інше/Плити,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Семантически близкая категория для рамок и креплений,semantic
2761,Спинки,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Спинки,36733,Спинки,,Багаж > Аксесуари до кофрів > Спинки,1.0,Точное совпадение пути и семантики,exact
2764,Сумки до кофрів,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Аксесуари > Сумки до кофрів,36734,Внутрішні сумки,,Багаж > Аксесуари до кофрів > Внутрішні сумки,0.9,Семантически близкая категория внутренних сумок для кофров,semantic
2744,SW-MOTECH Бокові кофри,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Бокові кофри,36721,Бокові кофри,,Багаж > Бокові кофри,1.0,Точное совпадение пути и семантики,exact
2743,SW-MOTECH Центральні кофри,,Для мотоцикла > Багаж > Кофри > SW-MOTECH Центральні кофри,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.9,Семантически близкая категория центральных кофров,semantic
2775,Замки,,Для мотоцикла > Багаж > Кофри > Touratech аксесуари > Замки,36732,Замки,,Багаж > Аксесуари до кофрів > Замки,1.0,Точное совпадение пути и семантики,exact
2773,Спинки,,Для мотоцикла > Багаж > Кофри > Touratech аксесуари > Спинки,36733,Спинки,,Багаж > Аксесуари до кофрів > Спинки,1.0,Точное совпадение пути и семантики,exact
2774,Ящик для інструментів,,Для мотоцикла > Багаж > Кофри > Touratech аксесуари > Ящик для інструментів,36730,Інструментальні сумки,,Багаж > Інструментальні сумки,0.9,Семантически близкая категория инструментальных сумок,semantic
2776,Touratech бокові кофри,,Для мотоцикла > Багаж > Кофри > Touratech бокові кофри,36721,Бокові кофри,,Багаж > Бокові кофри,1.0,Точное совпадение пути и семантики,exact
2771,Touratech центральні кофри,,Для мотоцикла > Багаж > Кофри > Touratech центральні кофри,36719,Пластик,,Багаж > Центральні кофри > Пластик,0.9,Семантически близкая категория центральных кофров,semantic
2770,Алюмінієві бокові кофри,,Для мотоцикла > Багаж > Кофри > Алюмінієві бокові кофри,36720,Алюміній,,Багаж > Центральні кофри > Алюміній,0.8,Семантически близкая категория алюминиевых кофров,semantic
2769,Пластикові бокові кофри Givi і Kapa,,Для мотоцикла > Багаж > Кофри > Пластикові бокові кофри Givi і Kapa,36721,Бокові кофри,,Багаж > Бокові кофри,0.9,Семантически близкая категория боковых кофров,semantic
8873,MiniRack,,Для мотоцикла > Багаж > Рамки > MiniRack,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Семантически близкая категория для рамок и креплений,semantic
8861,SW-MOTECH Рамки для бокових кофрів,,Для мотоцикла > Багаж > Рамки > SW-MOTECH Рамки для бокових кофрів,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Точне семантичне співпадіння для рамок та кріплень,semantic
2779,Пластини під бокові кофри,,Для мотоцикла > Багаж > Рамки > Пластини під бокові кофри,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Точне семантичне співпадіння для рамок та кріплень,semantic
2778,Платформи під центральні кофри,,Для мотоцикла > Багаж > Рамки > Платформи під центральні кофри,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Точне семантичне співпадіння для рамок та кріплень,semantic
2780,Рамки для бокових кофрів,,Для мотоцикла > Багаж > Рамки > Рамки для бокових кофрів,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Точне семантичне співпадіння для рамок та кріплень,semantic
2803,Рамки для центральних кофрів,,Для мотоцикла > Багаж > Рамки > Рамки для центральних кофрів,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Точне семантичне співпадіння для рамок та кріплень,semantic
2825,Рамки під сумки,,Для мотоцикла > Багаж > Рамки > Рамки під сумки,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",0.9,Точне семантичне співпадіння для рамок та кріплень,semantic
8901,Рюкзаки,,Для мотоцикла > Багаж > Рюкзаки,36728,Рюкзаки,,Багаж > Рюкзаки,1.0,Точне співпадіння категорії рюкзаків,exact
8903,Сітки багажні,,Для мотоцикла > Багаж > Сітки багажні,36729,"Сітки, кріплення, рамки",,"Багаж > Сітки, кріплення, рамки",1.0,Точне співпадіння категорії сіток та кріплень,exact
8899,Водонепроникні,,Для мотоцикла > Багаж > Сумки бокові > Водонепроникні,36726,Водонепроникні,,Багаж > Сумки бокові > Водонепроникні,1.0,Точне співпадіння категорії водонепроникних бокових сумок,exact
