input_id,input_name,input_path,input_full_path,match_id,match_name,match_path,match_full_path,confidence,reasoning,method
1770,Аксесуари для шин,,"Диски, Проставки, Шини > Аксесуари для шин",40504,Аксесуари для коліс,,Автоаксесуари 4x4 > Шини та диски > Аксесуари для коліс,0.9,Точне семантичне співпадіння для аксесуарів до шин,semantic
1774,Алюмінієві диски,,"Диски, Проставки, Шини > Алюмінієві диски",40503,Алюмінієві диски,,Автоаксесуари 4x4 > Шини та диски > Алюмінієві диски,1.0,Точне співпадіння категорії,exact
1773,Сталеві диски,,"Диски, Проставки, Шини > Сталеві диски",40502,Сталеві диски,,Автоаксесуари 4x4 > Шини та диски > Сталеві диски,1.0,Точне співпадіння категорії,exact
1769,Ланцюги на колеса,,"Диски, Проставки, Шини > Ланцюги на колеса",40504,Аксесуари для коліс,,Автоаксесуари 4x4 > Шини та диски > Аксесуари для коліс,0.8,Часткове семантичне співпадіння,semantic
1767,Шини,,"Диски, Проставки, Шини > Шини",40501,Позашляхові шини,,Автоаксесуари 4x4 > Шини та диски > Позашляхові шини,0.9,Семантичне співпадіння для шин,semantic
1775,Центрувальні кільця,,"Диски, Проставки, Шини > Центрувальні кільця",40504,Аксесуари для коліс,,Автоаксесуари 4x4 > Шини та диски > Аксесуари для коліс,0.9,Семантичне співпадіння для аксесуарів коліс,semantic
1772,Чохли на колеса,,"Диски, Проставки, Шини > Чохли на колеса",40504,Аксесуари для коліс,,Автоаксесуари 4x4 > Шини та диски > Аксесуари для коліс,0.9,Семантичне співпадіння для аксесуарів коліс,semantic
1765,Болти і гайки,,"Диски, Проставки, Шини > Болти і гайки",40504,Аксесуари для коліс,,Автоаксесуари 4x4 > Шини та диски > Аксесуари для коліс,0.8,Часткове семантичне співпадіння для аксесуарів коліс,semantic
1771,Ремонтні набори,,"Диски, Проставки, Шини > Ремонтні набори",10205,Насоси та інструменти,,Велосипеди та аксесуари > Велосипедні аксесуари > Насоси та інструменти,0.9,Ремонтні набори для шин найбільш логічно відносяться до категорії інструментів та аксесуарів для велосипедів,semantic
1766,Дистанції,,"Диски, Проставки, Шини > Дистанції",Не знайдено,Не найдено,,Не найдено,0.3,Немає точної відповідної категорії,unmatched
1768,Ковпаки Кришки,,"Диски, Проставки, Шини > Ковпаки Кришки",Не знайдено,Не найдено,,Не найдено,0.4,Немає точної відповідної категорії,unmatched
